coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,699,51,7,7,19,7,12,17.5,-5.9,"""[3.58, 0.33, 29.48, 1.08, 33.18, 4.5, 50.01]""","""[-4.29, -13.66, -10.25, -9.04, -1.03, -5.15, -6.39, -7.43, -2.83, -5.99, -0.85, -3.59]""",2.2
btc,699,34,7,8,18,6,12,18.5,-6.3,"""[0.33, 1.93, 28.54, 29.43, 4.5, 46.33]""","""[-8.56, -0.84, -13.28, -12.04, -5.67, -2.24, -8.41, -8.78, -3.96, -6.59, -2.11, -3.59]""",1.5
btc,699,31,7,9,16,4,12,26.9,-6.3,"""[28.54, 28.12, 4.5, 46.33]""","""[-10.55, -3.91, -13.68, -1.68, -12.04, -2.45, -5.67, -4.39, -3.96, -8.54, -4.71, -4.41]""",1.4
btc,699,21,7,10,14,4,10,23.3,-7.2,"""[22.58, 19.93, 4.5, 46.33]""","""[-14.38, -4.07, -16.36, -1.79, -14.51, -2.45, -4.39, -3.96, -8.54, -1.28]""",0.9
btc,699,-28,7,11,12,3,9,14.8,-8.2,"""[22.58, 19.17, 2.68]""","""[-16.47, -7.99, -16.36, -5.96, -8.36, -4.39, -3.96, -8.54, -1.36]""",-1.2
btc,699,-26,7,12,10,3,7,14.6,-10.0,"""[22.32, 18.72, 2.68]""","""[-18.52, -7.99, -17.21, -5.96, -11.34, -5.23, -3.96]""",-1.1
btc,699,-10,7,13,7,3,4,12.2,-11.7,"""[19.29, 17.05, 0.31]""","""[-13.44, -9.06, -12.14, -12.34]""",-0.4
btc,699,-5,7,14,6,3,3,12.5,-14.5,"""[20.05, 17.05, 0.31]""","""[-14.71, -10.84, -17.84]""",-0.3
btc,699,-13,7,15,6,2,4,16.2,-11.5,"""[15.35, 17.05]""","""[-14.71, -12.61, -18.28, -0.59]""",-0.6
btc,699,-19,7,16,6,2,4,16.6,-13.1,"""[19.53, 13.61]""","""[-15.68, -13.75, -18.69, -4.22]""",-0.8
btc,699,-15,7,17,6,2,4,15.9,-11.9,"""[19.47, 12.27]""","""[-16.99, -14.73, -11.51, -4.48]""",-0.7
btc,699,-23,7,18,6,2,4,15.3,-13.6,"""[18.73, 11.83]""","""[-18.72, -17.69, -11.51, -6.51]""",-1.0
btc,699,-31,7,19,6,2,4,13.0,-14.5,"""[15.92, 10.16]""","""[-20.63, -19.2, -11.51, -6.51]""",-1.4
btc,699,-19,7,20,5,2,3,10.6,-13.4,"""[15.92, 5.24]""","""[-22.23, -11.51, -6.51]""",-0.8
btc,699,-23,7,21,5,2,3,9.3,-14.1,"""[13.38, 5.24]""","""[-23.36, -12.52, -6.51]""",-1.0
btc,699,-26,7,22,5,2,3,8.5,-14.4,"""[13.38, 3.57]""","""[-23.36, -12.52, -7.34]""",-1.1
btc,699,46,8,7,19,8,11,15.4,-7.0,"""[3.97, 0.33, 1.93, 29.48, 1.54, 31.55, 8.02, 46.33]""","""[-4.29, -13.66, -13.28, -12.04, -4.52, -8.41, -7.43, -2.83, -5.99, -0.85, -3.59]""",2.0
btc,699,43,8,8,17,7,10,15.5,-6.5,"""[0.33, 0.15, 28.54, 0.67, 28.12, 4.5, 46.33]""","""[-8.56, -0.08, -13.28, -12.04, -5.67, -8.41, -3.96, -6.59, -2.11, -4.41]""",1.9
