coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,681,233,6,6,69,25,44,18.3,-5.1,"""[2.46, 50.12, 13.0, 1.76, 9.48, 4.88, 4.08, 8.32, 7.23, 2.21, 3.55, 92.87, 2.08, 2.0, 1.85, 2.62, 10.24, 0.3, 1.71, 6.36, 26.86, 3.18, 15.07, 166.49, 18.44]""","""[-1.8, -6.15, -10.52, -4.66, -9.88, -9.24, -4.62, -3.24, -12.2, -7.26, -7.22, -7.06, -15.24, -3.28, -5.92, -4.05, -2.58, -4.75, -5.08, -2.89, -5.36, -3.27, -4.83, -4.57, -5.36, -5.83, -6.28, -5.01, -0.48, -2.83, -2.25, -5.54, -4.41, -1.96, -3.79, -3.49, -0.76, -5.61, -3.67, -0.92, -8.79, -0.62, -5.22, -5.23]""",10.3
sol,681,210,6,7,57,20,37,21.6,-6.0,"""[49.39, 9.25, 1.12, 9.48, 3.74, 4.08, 6.04, 5.79, 92.42, 0.29, 4.47, 2.62, 9.45, 0.3, 1.08, 46.33, 2.02, 14.19, 154.45, 16.01]""","""[-3.34, -7.86, -11.07, -10.93, -5.79, -6.5, -15.48, -10.67, -8.9, -9.02, -5.66, -6.84, -5.31, -3.74, -7.46, -5.97, -0.25, -1.01, -4.12, -5.92, -6.4, -8.73, -1.81, -3.02, -5.01, -3.71, -5.19, -2.61, -6.81, -5.79, -1.32, -4.7, -6.54, -8.79, -1.5, -6.54, -7.88]""",9.3
sol,681,167,6,8,50,14,36,27.2,-5.9,"""[46.63, 5.91, 8.27, 1.81, 3.13, 3.35, 87.37, 4.47, 9.19, 38.66, 1.25, 13.13, 147.5, 10.7]""","""[-5.83, -9.29, -8.13, -6.44, -6.5, -13.47, -11.05, -12.38, -1.66, -3.45, -6.04, -5.02, -7.94, -5.97, -1.1, -1.01, -7.21, -5.92, -0.62, -13.27, -8.73, -3.86, -1.77, -8.04, -5.01, -5.32, -2.9, -6.98, -0.35, -0.04, -3.35, -6.67, -6.54, -10.05, -1.76, -10.24]""",7.4
sol,681,164,6,9,42,12,30,30.5,-6.7,"""[45.64, 5.84, 0.98, 0.56, 1.92, 103.24, 6.29, 7.74, 35.67, 12.05, 136.67, 9.93]""","""[-8.33, -13.9, -13.49, -8.95, -7.4, -12.62, -15.18, -0.02, -2.99, -4.62, -5.97, -7.0, -4.49, -1.01, -8.0, -7.7, -13.27, -5.34, -8.04, -6.63, -6.31, -3.21, -7.71, -0.35, -1.03, -4.07, -0.93, -9.4, -10.05, -3.62]""",7.3
sol,681,187,6,10,36,11,25,33.8,-7.4,"""[42.19, 4.14, 3.57, 104.32, 4.75, 2.88, 6.94, 52.58, 8.91, 136.67, 4.88]""","""[-9.79, -13.9, -13.49, -9.46, -9.36, -14.89, -19.19, -2.86, -5.17, -6.19, -0.78, -0.61, -7.08, -8.33, -2.12, -8.0, -7.7, -5.64, -8.48, -0.35, -5.08, -0.93, -9.4, -10.05, -5.33]""",8.3
sol,681,170,6,11,30,8,22,43.6,-8.1,"""[37.82, 111.89, 3.05, 1.46, 5.38, 50.89, 10.25, 128.08]""","""[-16.28, -11.65, -10.47, -16.62, -21.14, -6.77, -8.19, -0.59, -9.33, -3.12, -1.52, -8.63, -8.88, -1.95, -7.14, -8.46, -9.76, -6.65, -2.41, -6.76, -2.17, -9.4]""",7.5
sol,681,181,6,12,27,7,20,48.7,-8.0,"""[35.58, 110.45, 0.59, 5.03, 44.4, 8.48, 136.27]""","""[-20.42, -12.24, -11.3, -21.14, -8.82, -8.76, -2.79, -1.39, -3.54, -9.57, -9.93, -1.95, -7.14, -9.63, -1.68, -7.17, -2.41, -7.12, -2.79, -9.4]""",8.0
sol,681,19,6,13,25,4,21,48.8,-8.4,"""[33.92, 110.45, 43.16, 7.78]""","""[-21.61, -13.61, -13.45, -23.36, -11.64, -9.58, -5.58, -2.89, -4.29, -10.65, -1.95, -9.13, -10.52, -0.51, -2.93, -1.31, -8.27, -2.41, -8.12, -4.37, -9.72]""",0.9
sol,681,-8,6,14,23,4,19,47.1,-10.4,"""[30.92, 108.38, 42.2, 7.04]""","""[-23.03, -14.77, -14.74, -25.06, -15.91, -10.59, -7.65, -7.83, -7.29, -6.29, -9.13, -10.52, -7.5, -5.03, -1.62, -11.76, -2.41, -4.7, -10.91]""",-0.4
sol,681,30,6,15,19,6,13,31.6,-12.2,"""[30.92, 3.46, 106.51, 1.67, 41.43, 5.62]""","""[-23.68, -15.61, -25.9, -16.87, -12.65, -7.53, -6.29, -12.27, -7.5, -12.26, -2.41, -4.74, -11.14]""",1.4
