coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,682,32,6,6,17,5,12,34.5,-11.7,"""[26.31, 98.39, 5.11, 38.44, 4.48]""","""[-24.82, -16.02, -12.82, -11.31, -8.0, -8.06, -15.97, -14.79, -4.8, -4.29, -6.2, -13.19]""",1.4
sol,682,25,6,7,13,3,10,44.3,-10.7,"""[14.35, 82.33, 36.17]""","""[-18.97, -5.16, -8.95, -15.97, -16.25, -9.4, -3.29, -7.08, -7.18, -15.16]""",1.1
sol,682,22,6,8,11,3,8,40.7,-12.4,"""[10.41, 82.33, 29.45]""","""[-11.06, -14.55, -15.97, -13.64, -4.85, -9.31, -14.08, -15.98]""",1.0
sol,682,3,6,9,10,3,7,34.9,-14.5,"""[7.76, 71.28, 25.65]""","""[-15.1, -14.55, -16.37, -19.67, -10.04, -9.31, -16.48]""",0.1
sol,682,-15,6,10,9,3,6,26.2,-15.7,"""[2.43, 56.36, 19.83]""","""[-18.35, -14.55, -17.31, -19.67, -13.48, -10.96]""",-0.7
sol,682,-57,6,11,9,2,7,38.1,-19.1,"""[56.36, 19.83]""","""[-2.96, -21.44, -18.7, -27.83, -27.22, -16.01, -19.59]""",-2.5
sol,682,-88,6,12,9,2,7,33.9,-22.3,"""[53.53, 14.2]""","""[-12.95, -24.46, -23.73, -27.83, -29.87, -17.9, -19.59]""",-3.9
sol,682,-67,6,13,7,2,5,33.9,-27.0,"""[53.53, 14.2]""","""[-30.45, -23.73, -28.7, -32.17, -20.17]""",-3.0
sol,682,-44,6,14,6,2,4,30.4,-26.4,"""[46.5, 14.2]""","""[-30.45, -23.73, -30.25, -21.24]""",-2.0
sol,682,-61,6,15,6,2,4,27.8,-29.2,"""[43.43, 12.25]""","""[-34.75, -25.16, -30.25, -26.69]""",-2.7
sol,682,-74,6,16,5,2,3,24.0,-40.7,"""[39.62, 8.33]""","""[-41.03, -53.79, -27.31]""",-3.3
sol,682,-91,6,17,5,2,3,19.5,-43.4,"""[31.82, 7.26]""","""[-41.62, -60.83, -27.64]""",-4.0
sol,682,-81,6,18,5,2,3,17.6,-38.9,"""[29.49, 5.67]""","""[-27.23, -61.03, -28.57]""",-3.6
sol,682,-35,6,19,4,2,2,13.1,-30.6,"""[25.18, 1.06]""","""[-31.78, -29.5]""",-1.5
sol,682,-40,6,20,4,2,2,10.3,-30.6,"""[19.83, 0.75]""","""[-31.78, -29.5]""",-1.8
sol,682,-46,6,21,4,1,3,19.8,-22.2,"""[19.83]""","""[-31.78, -30.76, -4.12]""",-2.1
sol,682,-103,6,22,4,1,3,5.7,-36.3,"""[5.69]""","""[-72.87, -30.76, -5.26]""",-4.5
