coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month,profit_amounts,loss_amounts
xrp,681.8333333333333,-73.14259357149953,4,5,108,29,7.252835944889883,79,-3.588289062953243,-3.2182026015326124,"""[0.1297341647522082, 32.053722978382694, 5.673049645390082, 1.541221374045804, 7.552596416641361, 4.091244954982929, 7.747328244274809, 6.169592476489035, 3.3992458521870286, 5.386725663716799, 16.689087093389297, 6.776606683804631, 1.607779886148, 6.116361679224976, 0.9218563724098757, 10.160115606936426, 0.9324855200201442, 2.279064234734325, 10.216184351554137, 13.465372601517185, 5.579466544033111, 8.710192183113799, 15.750973751058426, 1.8618310423061586, 0.41145662847790554, 0.35231071779745926, 7.630524642289357, 22.126224783861662, 4.99988630826701]""","""[-5.33228159188204, -5.815658021133522, -6.218614210217267, -6.540636772390319, -4.07039030955585, -2.839542964051846, -0.8316435850535586, -1.788710439300895, -3.377528884696998, -2.8401013837512012, -1.5030946761080428, -2.8669015922735572, -4.726181609853909, -0.6319148936170164, -7.241253087805973, -5.9891722698817595, -3.9153556288271303, -0.07466430200152294, -2.078957915831668, -3.2296205027106923, -5.702156980227679, -2.6118984664198717, -1.083519404572031, -5.489997408655102, -7.242857142857139, -2.892792792792802, -5.404806565064479, -4.168791946308731, -5.020666800562366, -1.9638925010836579, -2.361092150170648, -0.5991680532445951, -1.9953752843062944, -4.966242038216562, -1.3668045501551087, -0.4999999999999877, -3.2605922551252844, -7.3538860103626895, -4.091344073094495, -1.1347376201034693, -6.8821782178217905, -3.0021766324743555, -6.547658739887225, -5.70502881089575, -1.928298887122421, -2.585301977552105, -2.011685514270327, -7.708936076089357, -4.086965689093356, -1.8261442979053353, -1.4896931094383294, -6.915578465063013, -3.8232917283689454, -4.918509870515813, -2.3780004218519366, -1.6907136715391269, -4.0260442821273665, -5.475733484762442, -8.42188420019626, -3.211653447223924, -2.6886101154918274, -0.9550573514077149, -1.344200759173348, -3.434711313214827, -3.4645655877342496, -2.2623315575054894, -2.2080873898045246, -3.159309309309326, -2.1604914933837467, -4.353745145182154, -2.0700551615445355, -0.7922468354430495, -1.8234848484848478, -1.3045732952225433, -13.953727144866376, -4.701226993865035, -3.096314693158138, -1.9409905506679663, -2.0027822193795832]"""
xrp,681.8333333333333,-25.95133809194042,4,6,84,23,9.308475350497663,61,-3.935184773006337,-1.1418335019675572,"""[29.80713048953251, 2.5799494878630567, 0.005401844532282332, 0.21569642631644734, 2.2410916020144263, 6.641573033707864, 2.8183483390251536, 6.983969465648854, 5.200655457395272, 2.747721822541969, 0.046498681511866535, 14.053846153846147, 5.666376934492263, 0.43590568060021484, 8.228530259366007, 1.3139827179889918, 9.075285070273143, 10.624385468783993, 4.8075553526592145, 8.710192183113799, 55.733855145063664, 31.378537360890295, 4.778444084278771]""","""[-6.776136363636364, -2.6753158406219497, -5.839673390970215, -9.544177093359, -1.788710439300895, -4.426809714689926, -3.522348975887993, -0.6319148936170164, -9.958532272325382, -0.07466430200152294, -3.7521739130434897, -6.1854865974402315, -8.719173262972745, -3.1671602326811215, -1.8012227538543226, -6.706451612903228, -7.8803203661327235, -5.9616647127784335, -4.168791946308731, -7.664026206075048, -3.4211913434754693, -3.128350515463918, -2.1590682196339475, -0.5791056694170796, -3.67675111773473, -5.400532589398928, -1.9843572534847775, -1.406447032093169, -1.3633352049410454, -0.3982107355864759, -5.801335877862603, -2.1004879238838705, -8.067639127237062, -5.7791415859722575, -3.1037214247740503, -3.3457081545064375, -2.1666796646519897, -2.0494306118509935, -7.831568998109649, -5.240681193145756, -2.951750891172154, -2.091008349389859, -5.9568738229755205, -4.01404451266308, -1.6659955257270773, -1.4078679676147037, -3.600068898994072, -3.8063233837883725, -3.5921620363184803, -2.2080873898045246, -4.353745145182154, -1.7154452324665168, -0.4852392538523951, -1.860907845822737, -0.4917727717923608, -2.088636363636376, -2.915474984808593, -13.953727144866376, -5.45314797059763, -2.543792766373414, -2.6416997617156324]"""
xrp,681.8333333333333,25.07322358453093,4,7,66,19,11.420498132154247,47,-4.0833242750297805,1.1031973222233116,"""[29.80713048953251, 0.13284481577866522, 4.6960725075528735, 1.8249017215670313, 3.246397347000301, 2.4046382189239317, 4.904549590536856, 3.8327443716158553, 2.1957662492546333, 11.695908057590307, 3.5998545001039246, 13.888010276905506, 0.4760670332547734, 32.8885971890745, 5.579466544033111, 8.335549817086296, 55.733855145063664, 31.378537360890295, 0.36857327516561866]""","""[-3.2244966983411136, -5.839673390970215, -0.930039525691696, -3.5991974317817084, -0.2520141879908765, -3.47888198757764, -11.211111111111107, -4.2819132253005785, -1.8012227538543226, -4.628624323554549, -6.547831184056277, -1.1422698320787472, -4.168791946308731, -3.987227680478427, -3.851865273928801, -2.1590682196339475, -1.2917372881355944, -1.9119747899159707, -3.9499751614505745, -4.957070579306854, -1.9681007642230384, -1.3633352049410454, -2.6236593059936957, -8.067639127237062, -5.976207887176813, -3.7440454185370955, -4.433868378812211, -5.433591931730017, -5.600526870389874, -3.276593521421106, -6.852471553814588, -4.01404451266308, -2.5340770791075076, -4.494491697043337, -5.059822665558318, -6.69016901845247, -2.1697585281717195, -6.203199556130927, -2.512710867006676, -1.570292044310166, -1.860907845822737, -5.442516753536868, -2.637878787878803, -3.0775167105529766, -13.953727144866376, -3.3019308125502858, -3.8381703470031634]"""
xrp,681.8333333333333,-8.069679340768898,4,8,58,15,12.911886460233099,43,-4.691813401029426,-0.3550580008160356,"""[24.810086004691165, 8.332147562582339, 2.106320810971979, 0.08512804689910194, 2.59622528460156, 4.374209176403532, 1.4689757252812394, 2.9468935967626835, 2.560569528164618, 13.888010276905506, 32.29176346356914, 5.119590710508162, 8.05625670744796, 52.91607180129408, 32.12604820741341]""","""[-4.218773946360143, -6.980133317462202, -2.3051773729626084, -1.5703898556589655, -4.046317303083568, -2.608780732563976, -3.670543020084297, -2.8726432532347386, -12.964864864864857, -7.632239155920281, -1.1422698320787472, -4.567281879194628, -5.426064164395046, -2.1590682196339475, -2.2327014218009618, -2.5778299426186773, -4.570938897168409, -4.957070579306854, -2.6266704098820908, -3.5163288940358943, -3.164671814671812, -0.359672812256557, -8.067639127237062, -6.123468057366365, -3.9978140637345225, -5.671692632690787, -5.799381761978356, -7.109539610120281, -3.7798336798336787, -7.354174397031543, -10.941763695361711, -4.138772213247165, -4.9197650870797975, -8.937772397094431, -2.1697585281717195, -6.203199556130927, -2.703758809710265, -1.570292044310166, -2.931652443754839, -4.306999255398373, -13.953727144866376, -0.05172968624296591, -4.844810363664755]"""
xrp,681.8333333333333,-49.76229990999225,4,9,48,10,14.293331918945563,38,-5.070937344722313,-2.189492540649867,"""[21.761174675819984, 7.229160146061544, 2.7013582342954217, 0.7569388240895139, 15.404772924501007, 29.474861367837352, 3.8440495299243276, 7.570940170940168, 24.049026248941562, 30.141037067044756]""","""[-5.670587299060945, -8.829688055983869, -5.329625696840987, -4.322397062680291, -6.528015564202335, -2.608780732563976, -4.373715415019758, -0.4488372093023194, -0.37641277641278004, -3.0725829725829654, -4.071593897948449, -13.586486486486486, -0.1, -3.7368762334367136, -5.196476510067112, -0.22257405515832268, -5.803501782344307, -2.575041597337775, -7.01516709511569, -4.252781338118429, -6.024287118977386, -7.866253478370859, -2.6813692480359106, -5.242310452044969, -1.6733814805261786, -5.597382198952884, -6.915578465063013, -7.109539610120281, -11.751219973519943, -7.022922117126179, -5.912069663831511, -8.937772397094431, -3.9992996403558494, -0.7755414265845338, -5.423901712583759, -13.953727144866376, -2.6164289148902147, -1.071492275840101]"""
xrp,681.8333333333333,-47.801803587622565,4,10,42,10,12.753989125230468,32,-5.479427963747726,-2.103232619352741,"""[21.761174675819984, 4.360093896713616, 2.1228474957794083, 0.7569388240895139, 13.111845102505693, 29.474861367837352, 2.340677966101689, 7.478992314261322, 22.169263336155787, 23.963196273040307]""","""[-9.73006459189666, -5.435810990177862, -4.322397062680291, -8.146692607003887, -3.0854490717511345, -6.827005870841493, -1.7279069767441844, -1.0759072888075742, -3.0725829725829654, -4.873082942097036, -13.640540540540533, -0.5982415005861604, -3.7368762334367136, -10.184202085004012, -0.22257405515832268, -3.0146571608303563, -7.01516709511569, -4.252781338118429, -7.914407814407808, -7.866253478370859, -4.524040066777955, -3.5465020576131607, -5.951619644723087, -6.915578465063013, -12.64446732821569, -7.692407592407578, -5.912069663831511, -8.937772397094431, -3.9992996403558494, -1.073574408901244, -5.423901712583759, -1.9778601862079883]"""
xrp,681.8333333333333,-39.7401370374214,4,11,35,9,13.250542985093082,26,-6.115193227048426,-1.7485271734871308,"""[3.939485647486689, 1.323785594639864, 19.01474485480687, 13.111845102505693, 27.189234760051882, 2.340677966101689, 6.252891515407349, 22.169263336155787, 23.912958088681926]""","""[-4.322397062680291, -8.146692607003887, -4.406696539706243, -6.827005870841493, -6.777750069271269, -2.655521752357779, -3.0725829725829654, -5.878240499739718, -14.829729729729728, -1.120408163265307, -10.184202085004012, -3.0298848252172186, -3.3190635451504953, -6.484576865297939, -5.358764607679458, -4.8208121827411174, -7.555683003128262, -6.915578465063013, -16.941730461100228, -7.839876321563923, -6.499351964358043, -8.937772397094431, -3.9992996403558494, -1.669640373534664, -5.423901712583759, -1.9778601862079883]"""
xrp,681.8333333333333,-31.46890102227266,4,12,31,9,13.083763735172942,22,-6.78285339267405,-1.3846008760716402,"""[2.5265214606021877, 0.9851419031719574, 23.892106005074712, 12.456947608200448, 24.542492339121544, 1.6401129943502788, 6.252891515407349, 22.169263336155787, 23.288396454472206]""","""[-4.322397062680291, -10.57087980173482, -5.178416728902173, -8.91130507065669, -3.098182919442768, -3.794083694083688, -11.29170984455959, -14.829729729729728, -2.4906705539358716, -3.5759895519389158, -5.778036605657236, -6.484576865297939, -7.283986838497395, -4.8208121827411174, -8.602340093603745, -16.941730461100228, -8.823110321689365, -6.499351964358043, -5.459477124182997, -2.1174050632911476, -5.423901712583759, -2.924680448161595]"""
xrp,681.8333333333333,-12.804355252424772,4,13,29,8,16.947511257035487,21,-7.065925967081365,-0.5633791115708773,"""[1.9642201834862374, 18.893506493506504, 12.456947608200448, 26.024031007751926, 1.6401129943502788, 6.252891515407349, 45.05998379910895, 23.288396454472206]""","""[-7.280073706951327, -11.081056522408753, -5.43763654419067, -8.91130507065669, -3.5659433393610644, -4.198124098124095, -0.6485463521667586, -12.337583205325142, -14.829729729729728, -3.0283850391417797, -4.364647269828622, -9.272841978770279, -6.484576865297939, -8.10658075130244, -6.507379705809025, -16.941730461100228, -8.823110321689365, -5.870308123249286, -2.2335440537336972, -5.423901712583759, -3.0374404572880396]"""
xrp,681.8333333333333,-32.91079062241267,4,14,26,7,14.755660365471199,19,-7.168442798984794,-1.4480426086615208,"""[18.893506493506504, 10.595187165775396, 26.024031007751926, 1.6401129943502788, 5.539412997903572, 17.308975444538525, 23.288396454472206]""","""[-1.0521454185730097, -7.699440843817521, -8.006976744186046, -9.41005818786368, -4.970032865252459, -5.1793650793650645, -1.0599561162918276, -12.337583205325142, -9.613513513513515, -6.5274447949526735, -9.272841978770279, -7.38985866600545, -10.903400054839606, -6.507379705809025, -16.941730461100228, -8.823110321689365, -6.038375350140045, -0.5891410682840827, -3.8780588049320315]"""
