coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
xrp,682,10,6,6,18,6,12,17.1,-7.7,"""[22.68, 7.0, 21.11, 6.61, 31.59, 13.43]""","""[-2.94, -10.25, -15.74, -7.83, -1.78, -4.85, -10.12, -9.57, -10.39, -9.22, -2.82, -6.81]""",0.4
xrp,682,-23,6,7,16,6,10,12.9,-10.1,"""[20.95, 4.13, 21.11, 4.5, 13.4, 13.43]""","""[-4.36, -14.02, -16.34, -2.94, -7.26, -20.14, -12.95, -9.22, -5.04, -9.16]""",-1.1
xrp,682,9,6,8,12,6,6,12.1,-10.5,"""[24.27, 4.13, 18.54, 0.95, 13.4, 11.27]""","""[-7.98, -2.86, -22.08, -15.64, -9.22, -5.04]""",0.4
xrp,682,5,6,9,9,5,4,9.5,-10.6,"""[22.77, 2.17, 9.69, 0.59, 12.18]""","""[-10.41, -4.69, -22.08, -5.04]""",0.2
xrp,682,5,6,10,8,4,4,7.8,-6.3,"""[10.48, 1.72, 7.31, 11.52]""","""[-10.98, -4.77, -2.38, -7.19]""",0.3
xrp,682,13,6,11,7,4,3,11.9,-11.6,"""[6.42, 0.63, 3.61, 37.06]""","""[-18.76, -7.89, -8.05]""",0.6
xrp,682,24,6,12,6,3,3,13.9,-5.9,"""[6.42, 3.61, 31.77]""","""[-8.33, -1.26, -8.05]""",1.1
xrp,682,14,6,13,6,3,3,12.8,-8.1,"""[6.42, 3.61, 28.41]""","""[-12.87, -2.09, -9.4]""",0.6
xrp,682,10,6,14,6,3,3,12.8,-9.5,"""[6.42, 3.61, 28.41]""","""[-13.64, -4.19, -10.58]""",0.4
xrp,682,-8,6,15,6,2,4,15.4,-9.8,"""[4.83, 26.0]""","""[-14.51, -6.53, -7.77, -10.58]""",-0.4
xrp,682,-19,6,16,6,2,4,13.5,-11.5,"""[2.58, 24.32]""","""[-19.8, -6.82, -8.34, -11.03]""",-0.8
xrp,682,1,6,17,4,2,2,16.7,-16.1,"""[12.27, 21.18]""","""[-20.82, -11.46]""",0.1
xrp,682,19,6,18,3,2,1,13.2,-6.6,"""[8.84, 17.57]""","""[-6.63]""",0.9
