,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
208,btc,699,53,20,7,14,4,10,28.3,-6.0,"""[26.56, 28.12, 4.5, 54.1]""","""[-6.78, -0.84, -11.43, -1.12, -12.04, -3.81, -3.83, -4.39, -10.07, -5.51]""",2.3
224,btc,699,52,21,7,14,4,10,28.3,-6.0,"""[26.28, 28.12, 4.5, 54.1]""","""[-6.78, -0.08, -13.13, -1.12, -12.04, -3.81, -3.4, -4.39, -10.07, -5.51]""",2.3
177,btc,699,50,18,8,11,4,7,24.3,-6.7,"""[23.51, 17.05, 3.87, 52.67]""","""[-8.56, -2.12, -1.12, -13.49, -10.05, -4.68, -6.59]""",2.2
16,btc,699,46,8,7,19,8,11,15.4,-7.0,"""[3.97, 0.33, 1.93, 29.48, 1.54, 31.55, 8.02, 46.33]""","""[-4.29, -13.66, -13.28, -12.04, -4.52, -8.41, -7.43, -2.83, -5.99, -0.85, -3.59]""",2.0
207,btc,699,45,19,22,1,1,0,46.0,0.0,"""[45.98]""","""[]""",2.0
191,btc,699,45,18,22,1,1,0,46.0,0.0,"""[45.98]""","""[]""",2.0
98,btc,699,43,13,9,10,4,6,23.0,-8.0,"""[21.37, 19.17, 2.92, 48.59]""","""[-12.34, -4.98, -1.68, -14.51, -3.81, -10.94]""",1.9
17,btc,699,43,8,8,17,7,10,15.5,-6.5,"""[0.33, 0.15, 28.54, 0.67, 28.12, 4.5, 46.33]""","""[-8.56, -0.08, -13.28, -12.04, -5.67, -8.41, -3.96, -6.59, -2.11, -4.41]""",1.9
192,btc,699,42,19,7,15,5,10,22.5,-7.0,"""[0.33, 26.56, 26.83, 4.5, 54.1]""","""[-7.2, -0.84, -11.43, -10.47, -12.04, -3.81, -3.83, -4.39, -10.07, -5.51]""",1.8
176,btc,699,41,18,7,15,5,10,22.5,-7.0,"""[0.33, 26.56, 26.83, 4.5, 54.1]""","""[-6.78, -0.08, -11.43, -10.47, -12.04, -3.81, -4.47, -4.39, -10.95, -5.99]""",1.8
254,btc,699,40,22,21,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
239,btc,699,40,21,22,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
238,btc,699,40,21,21,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
223,btc,699,40,20,22,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
222,btc,699,40,20,21,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
255,btc,699,40,22,22,1,1,0,40.9,0.0,"""[40.87]""","""[]""",1.8
109,btc,699,39,13,20,2,1,1,46.5,-7.3,"""[46.54]""","""[-7.34]""",1.7
144,btc,699,38,16,7,17,5,12,21.7,-5.8,"""[0.33, 26.56, 27.31, 8.02, 46.33]""","""[-6.78, -0.08, -9.55, -10.47, -9.04, -3.81, -4.04, -4.39, -10.95, -3.96, -6.59, -0.16]""",1.7
202,btc,699,37,19,17,2,1,1,44.8,-7.5,"""[44.84]""","""[-7.49]""",1.6
160,btc,699,37,17,7,17,6,11,18.2,-6.6,"""[0.33, 26.56, 27.31, 8.02, 0.78, 46.33]""","""[-6.78, -0.08, -9.55, -10.47, -12.04, -3.81, -4.04, -4.39, -10.95, -3.96, -5.99]""",1.6
110,btc,699,36,13,21,2,1,1,44.3,-7.3,"""[44.27]""","""[-7.34]""",1.6
187,btc,699,33,18,18,2,1,1,40.5,-7.5,"""[40.53]""","""[-7.49]""",1.4
161,btc,699,33,17,8,13,5,8,19.8,-8.2,"""[0.33, 25.22, 17.05, 3.87, 52.67]""","""[-8.56, -1.85, -13.49, -10.05, -5.88, -5.23, -11.87, -8.54]""",1.4
111,btc,699,32,13,22,2,1,1,43.6,-10.8,"""[43.57]""","""[-10.82]""",1.4
80,btc,699,32,12,7,18,6,12,17.3,-6.0,"""[0.33, 0.15, 28.54, 19.93, 8.72, 46.33]""","""[-6.78, -0.08, -10.59, -9.04, -3.83, -4.39, -8.41, -7.43, -3.96, -8.54, -4.22, -4.41]""",1.4
145,btc,699,31,16,8,14,5,9,19.9,-7.6,"""[0.33, 25.5, 17.05, 3.87, 52.67]""","""[-8.56, -1.85, -12.04, -10.05, -5.88, -5.23, -11.87, -3.96, -8.54]""",1.3
19,btc,699,31,8,10,13,4,9,23.7,-7.0,"""[24.0, 19.93, 4.5, 46.33]""","""[-12.63, -4.98, -16.36, -2.31, -8.36, -4.39, -3.96, -8.54, -1.68]""",1.4
82,btc,699,29,12,9,12,4,8,23.1,-7.8,"""[21.59, 19.17, 2.92, 48.59]""","""[-12.34, -2.02, -14.15, -1.68, -14.79, -2.93, -10.87, -3.96]""",1.3
250,btc,699,29,22,17,2,1,1,40.5,-10.9,"""[40.53]""","""[-10.91]""",1.3
234,btc,699,29,21,17,2,1,1,40.5,-10.9,"""[40.53]""","""[-10.91]""",1.3
203,btc,699,28,19,18,2,1,1,40.5,-12.2,"""[40.53]""","""[-12.22]""",1.2
251,btc,699,28,22,18,2,1,1,40.5,-11.7,"""[40.53]""","""[-11.71]""",1.2
219,btc,699,28,20,18,2,1,1,40.5,-11.7,"""[40.53]""","""[-11.71]""",1.2
172,btc,699,25,17,19,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
157,btc,699,25,16,20,2,1,1,40.5,-14.9,"""[40.53]""","""[-14.89]""",1.1
158,btc,699,22,16,21,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
221,btc,699,22,20,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
220,btc,699,22,20,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
188,btc,699,22,18,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
189,btc,699,22,18,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
173,btc,699,22,17,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
174,btc,699,22,17,21,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
175,btc,699,22,17,22,2,1,1,37.0,-14.9,"""[36.99]""","""[-14.89]""",0.9
205,btc,699,22,19,20,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
204,btc,699,22,19,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
235,btc,699,22,21,18,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
236,btc,699,22,21,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
18,btc,699,22,8,9,16,4,12,24.8,-6.4,"""[28.54, 19.93, 4.5, 46.33]""","""[-9.49, -2.36, -13.58, -1.68, -13.49, -2.45, -7.3, -4.39, -3.96, -8.54, -4.71, -4.41]""",1.0
159,btc,699,22,16,22,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
252,btc,699,22,22,19,2,1,1,37.8,-14.9,"""[37.78]""","""[-14.89]""",1.0
