,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
17,eth,689,61,8,8,13,6,7,18.2,-6.9,"""[5.25, 36.76, 3.75, 14.89, 15.74, 32.69]""","""[-13.12, -12.53, -6.64, -5.45, -0.28, -6.08, -3.87]""",2.7
33,eth,689,57,9,8,13,6,7,17.8,-7.1,"""[5.25, 36.76, 3.75, 14.89, 14.62, 31.4]""","""[-13.12, -12.53, -6.64, -5.45, -0.28, -7.6, -3.87]""",2.5
96,eth,689,51,13,7,15,7,8,17.2,-8.6,"""[2.43, 39.84, 3.75, 20.86, 19.86, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -8.61, -10.46, -5.45, -8.98, -3.87]""",2.3
80,eth,689,49,12,7,15,7,8,16.5,-8.2,"""[1.06, 39.84, 3.75, 20.86, 16.11, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -7.49, -9.31, -4.73, -8.98, -3.87]""",2.2
128,eth,689,48,15,7,15,6,9,18.9,-7.1,"""[1.06, 36.76, 20.86, 20.06, 1.65, 32.87]""","""[-7.3, -12.53, -6.7, -5.52, -4.89, -10.46, -5.45, -7.6, -3.87]""",2.1
160,eth,689,41,17,7,15,6,9,19.0,-8.1,"""[5.25, 36.76, 18.7, 20.06, 1.65, 31.4]""","""[-9.19, -13.27, -6.7, -8.44, -4.89, -10.46, -9.38, -7.6, -2.75]""",1.8
112,eth,689,40,14,7,15,6,9,18.7,-8.0,"""[2.43, 36.76, 20.86, 18.71, 0.72, 32.87]""","""[-9.19, -12.53, -6.7, -9.48, -4.89, -10.46, -5.45, -8.98, -3.87]""",1.8
176,eth,689,37,18,7,15,6,9,18.9,-8.4,"""[5.25, 36.76, 18.6, 20.06, 1.65, 30.91]""","""[-9.19, -15.95, -6.7, -8.44, -4.89, -9.31, -9.38, -7.6, -4.03]""",1.6
192,eth,689,36,19,7,15,6,9,19.1,-8.7,"""[5.25, 36.76, 18.6, 20.71, 2.2, 30.91]""","""[-9.19, -15.95, -6.7, -8.44, -7.49, -9.31, -9.38, -7.6, -4.03]""",1.6
208,eth,689,31,20,7,15,6,9,18.2,-8.6,"""[5.25, 35.53, 18.23, 20.71, 0.64, 28.67]""","""[-9.19, -15.95, -6.7, -7.9, -7.49, -9.31, -9.38, -7.6, -4.03]""",1.4
32,eth,689,29,9,7,17,7,10,17.2,-9.1,"""[1.06, 37.67, 5.84, 23.27, 16.11, 1.65, 34.98]""","""[-9.19, -19.89, -14.77, -10.69, -9.99, -2.83, -10.46, -4.73, -5.68, -2.47]""",1.3
16,eth,689,28,8,7,17,7,10,17.2,-9.2,"""[1.06, 37.67, 5.84, 22.77, 16.11, 1.65, 35.51]""","""[-9.19, -19.89, -16.64, -10.62, -9.48, -2.83, -10.46, -4.73, -5.68, -2.47]""",1.2
113,eth,689,23,14,8,14,5,9,19.8,-8.4,"""[5.25, 35.99, 18.23, 10.64, 28.67]""","""[-11.18, -13.31, -6.7, -10.06, -11.23, -9.38, -0.72, -8.98, -3.87]""",1.0
97,eth,689,20,13,8,14,5,9,20.2,-9.0,"""[5.25, 35.99, 18.23, 10.64, 30.91]""","""[-13.12, -13.27, -6.7, -11.99, -11.23, -9.38, -0.72, -10.35, -4.13]""",0.9
212,eth,689,9,20,11,6,3,3,12.1,-9.0,"""[16.96, 11.34, 8.12]""","""[-4.7, -12.82, -9.42]""",0.4
88,eth,689,7,12,15,4,1,3,32.0,-8.1,"""[32.04]""","""[-2.85, -12.02, -9.42]""",0.3
194,eth,689,5,19,9,9,4,5,12.6,-8.9,"""[1.16, 26.16, 12.33, 10.64]""","""[-16.64, -6.7, -4.07, -10.04, -7.12]""",0.2
210,eth,689,4,20,9,9,4,5,12.6,-9.1,"""[1.16, 26.16, 12.33, 10.64]""","""[-16.64, -6.7, -4.57, -10.04, -7.77]""",0.2
162,eth,689,3,17,9,9,4,5,12.6,-9.3,"""[1.16, 26.16, 12.33, 10.64]""","""[-17.3, -12.02, -2.37, -10.04, -4.82]""",0.2
81,eth,689,3,12,8,13,4,9,19.3,-8.2,"""[7.78, 35.99, 18.7, 14.62]""","""[-13.12, -13.98, -6.7, -11.99, -8.61, -5.45, -0.72, -8.98, -3.87]""",0.2
193,eth,689,1,19,8,12,4,8,15.9,-7.7,"""[5.25, 26.96, 16.72, 14.58]""","""[-13.22, -6.7, -9.48, -8.61, -9.7, -1.37, -8.67, -3.87]""",0.1
142,eth,689,0,15,21,2,1,1,25.1,-25.8,"""[25.11]""","""[-25.83]""",-0.0
209,eth,689,0,20,8,12,4,8,15.9,-7.8,"""[5.25, 26.96, 16.72, 14.58]""","""[-13.61, -6.7, -9.48, -8.61, -9.7, -1.37, -8.67, -4.65]""",0.0
126,eth,689,0,14,21,2,1,1,25.4,-25.8,"""[25.43]""","""[-25.83]""",-0.0
178,eth,689,0,18,9,9,4,5,11.1,-8.8,"""[1.16, 20.31, 12.33, 10.64]""","""[-15.47, -6.7, -4.57, -10.04, -7.12]""",0.0
196,eth,689,0,19,11,7,3,4,12.0,-8.8,"""[16.96, 11.34, 7.74]""","""[-4.36, -12.02, -9.42, -9.27]""",0.0
180,eth,689,-2,18,11,7,3,4,10.2,-8.2,"""[16.96, 11.34, 2.33]""","""[-4.7, -12.02, -6.9, -9.27]""",-0.1
132,eth,689,-3,15,11,7,3,4,10.2,-8.4,"""[16.96, 12.83, 0.73]""","""[-2.59, -12.82, -6.9, -11.25]""",-0.1
189,eth,689,-4,18,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
173,eth,689,-4,17,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
206,eth,689,-4,19,21,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
205,eth,689,-4,19,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
104,eth,689,-4,13,15,4,2,2,13.6,-15.6,"""[1.34, 25.89]""","""[-21.47, -9.78]""",-0.2
111,eth,689,-4,13,22,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
177,eth,689,-4,18,8,12,4,8,14.9,-8.0,"""[5.25, 26.96, 16.72, 10.64]""","""[-13.12, -6.7, -9.48, -11.23, -9.38, -1.37, -8.67, -3.87]""",-0.2
221,eth,689,-4,20,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
190,eth,689,-4,18,21,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
174,eth,689,-4,17,21,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
222,eth,689,-5,20,21,2,1,1,20.9,-26.2,"""[20.92]""","""[-26.24]""",-0.2
143,eth,689,-5,15,22,2,1,1,20.9,-26.8,"""[20.92]""","""[-26.85]""",-0.3
164,eth,689,-6,17,11,7,3,4,9.7,-8.8,"""[16.96, 11.34, 0.73]""","""[-4.36, -12.82, -6.9, -11.25]""",-0.3
127,eth,689,-6,14,22,2,1,1,20.9,-27.2,"""[20.92]""","""[-27.25]""",-0.3
175,eth,689,-7,17,22,2,1,1,20.9,-28.8,"""[20.92]""","""[-28.84]""",-0.3
191,eth,689,-7,18,22,2,1,1,20.9,-28.8,"""[20.92]""","""[-28.84]""",-0.3
