,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
20,sol,682,54,7,7,11,3,8,45.7,-10.4,"""[20.4, 82.33, 34.26]""","""[-4.99, -12.14, -15.97, -10.23, -3.29, -7.08, -14.08, -15.16]""",2.4
172,sol,682,43,15,7,9,3,6,38.6,-12.0,"""[14.35, 71.28, 30.08]""","""[-13.19, -13.16, -15.97, -19.7, -3.29, -6.58]""",1.9
134,sol,682,27,13,7,10,3,7,39.3,-12.9,"""[14.35, 71.28, 32.34]""","""[-13.19, -13.05, -15.97, -17.05, -20.84, -3.29, -6.58]""",1.2
153,sol,682,26,14,7,10,3,7,38.6,-12.8,"""[14.35, 71.28, 30.08]""","""[-13.29, -13.05, -16.37, -17.05, -19.7, -3.29, -6.58]""",1.2
191,sol,682,24,16,7,10,3,7,38.6,-13.0,"""[14.35, 71.28, 30.08]""","""[-12.65, -16.1, -15.97, -17.05, -19.7, -3.29, -6.58]""",1.1
210,sol,682,22,17,7,10,3,7,37.7,-12.9,"""[11.61, 71.28, 30.08]""","""[-12.65, -13.47, -15.97, -17.05, -19.7, -4.85, -6.58]""",1.0
248,sol,682,22,19,7,10,3,7,36.3,-12.4,"""[11.23, 71.28, 26.26]""","""[-12.65, -12.2, -16.37, -16.25, -17.52, -4.85, -6.68]""",1.0
21,sol,682,21,7,8,10,3,7,38.2,-13.3,"""[13.96, 71.28, 29.45]""","""[-12.65, -14.55, -15.97, -19.67, -4.85, -9.31, -15.98]""",1.0
267,sol,682,21,20,7,10,3,7,36.3,-12.5,"""[11.23, 71.28, 26.26]""","""[-11.06, -12.2, -16.37, -16.25, -17.52, -7.04, -6.94]""",0.9
229,sol,682,20,18,7,10,3,7,36.3,-12.6,"""[11.23, 71.28, 26.26]""","""[-12.65, -12.76, -15.97, -17.05, -18.27, -4.85, -6.58]""",0.9
135,sol,682,18,13,8,9,3,6,34.7,-14.2,"""[9.28, 71.28, 23.46]""","""[-11.35, -16.1, -17.31, -24.13, -7.04, -9.31]""",0.8
286,sol,682,17,21,7,10,3,7,34.1,-12.1,"""[11.23, 71.28, 19.83]""","""[-11.06, -12.4, -15.97, -16.25, -17.52, -4.85, -6.94]""",0.8
22,sol,682,16,7,9,9,3,6,34.8,-14.6,"""[7.76, 71.28, 25.32]""","""[-15.1, -14.55, -17.31, -19.67, -10.04, -10.96]""",0.7
164,sol,682,14,14,18,2,1,1,14.9,-0.5,"""[14.94]""","""[-0.45]""",0.6
154,sol,682,14,14,8,9,3,6,34.7,-14.9,"""[9.28, 71.28, 23.46]""","""[-10.43, -16.1, -19.53, -24.13, -10.04, -9.31]""",0.6
202,sol,682,9,16,18,2,1,1,14.9,-5.7,"""[14.94]""","""[-5.7]""",0.4
240,sol,682,7,18,18,2,1,1,14.9,-7.4,"""[14.94]""","""[-7.37]""",0.3
146,sol,682,6,13,19,2,1,1,12.6,-5.7,"""[12.63]""","""[-5.7]""",0.3
221,sol,682,6,17,18,2,1,1,12.6,-5.7,"""[12.63]""","""[-5.7]""",0.3
203,sol,682,5,16,19,2,1,1,12.6,-7.4,"""[12.63]""","""[-7.37]""",0.2
165,sol,682,5,14,19,2,1,1,12.6,-7.4,"""[12.63]""","""[-7.37]""",0.2
259,sol,682,5,19,18,2,1,1,12.6,-7.4,"""[12.63]""","""[-7.37]""",0.2
184,sol,682,5,15,19,2,1,1,12.6,-7.4,"""[12.63]""","""[-7.37]""",0.2
278,sol,682,5,20,18,2,1,1,12.6,-7.4,"""[12.63]""","""[-7.37]""",0.2
297,sol,682,3,21,18,2,1,1,12.6,-8.8,"""[12.63]""","""[-8.77]""",0.2
298,sol,682,2,21,19,2,1,1,12.6,-10.5,"""[12.63]""","""[-10.46]""",0.1
268,sol,682,0,20,8,9,3,6,31.2,-15.7,"""[2.43, 71.28, 19.83]""","""[-13.77, -21.29, -19.53, -20.84, -8.04, -10.66]""",-0.0
287,sol,682,0,21,8,9,3,6,30.1,-15.2,"""[2.43, 68.18, 19.83]""","""[-13.11, -21.29, -17.47, -20.84, -8.04, -10.66]""",-0.0
173,sol,682,-1,15,8,9,3,6,28.5,-14.5,"""[9.28, 56.36, 19.83]""","""[-13.11, -16.1, -17.47, -24.13, -7.04, -9.31]""",-0.1
192,sol,682,-5,16,8,9,3,6,27.4,-14.6,"""[5.88, 56.36, 19.83]""","""[-13.77, -16.1, -17.31, -24.13, -7.04, -9.31]""",-0.2
147,sol,682,-7,13,20,2,0,2,0.0,-3.8,"""[]""","""[-0.31, -7.37]""",-0.3
193,sol,682,-7,16,9,8,3,5,24.6,-16.3,"""[1.05, 52.84, 19.83]""","""[-18.35, -21.29, -19.53, -11.85, -10.66]""",-0.3
222,sol,682,-7,17,19,2,0,2,0.0,-3.8,"""[]""","""[-0.31, -7.37]""",-0.3
166,sol,682,-8,14,20,2,0,2,0.0,-4.1,"""[]""","""[-0.31, -7.94]""",-0.4
241,sol,682,-8,18,19,2,0,2,0.0,-4.1,"""[]""","""[-0.31, -7.94]""",-0.4
260,sol,682,-8,19,19,2,0,2,0.0,-4.1,"""[]""","""[-0.31, -7.94]""",-0.4
279,sol,682,-9,20,19,2,0,2,0.0,-4.8,"""[]""","""[-0.31, -9.33]""",-0.4
185,sol,682,-11,15,20,2,0,2,0.0,-5.9,"""[]""","""[-0.31, -11.48]""",-0.5
249,sol,682,-14,19,8,9,3,6,26.2,-15.5,"""[2.43, 56.36, 19.83]""","""[-13.77, -21.29, -19.53, -20.84, -7.04, -10.66]""",-0.6
230,sol,682,-14,18,8,9,3,6,26.2,-15.5,"""[2.43, 56.36, 19.83]""","""[-13.77, -21.29, -17.31, -24.13, -7.04, -9.65]""",-0.6
211,sol,682,-14,17,8,9,3,6,26.2,-15.5,"""[2.43, 56.36, 19.83]""","""[-13.77, -21.29, -17.31, -24.13, -7.04, -9.65]""",-0.6
212,sol,682,-18,17,9,8,2,6,36.3,-15.2,"""[52.84, 19.83]""","""[-1.29, -15.1, -21.29, -27.83, -13.48, -12.28]""",-0.8
204,sol,682,-18,16,20,2,0,2,0.0,-9.2,"""[]""","""[-10.26, -8.23]""",-0.8
148,sol,682,-18,13,21,2,0,2,0.0,-9.2,"""[]""","""[-10.26, -8.23]""",-0.8
223,sol,682,-19,17,20,2,0,2,0.0,-9.9,"""[]""","""[-10.26, -9.61]""",-0.9
237,sol,682,-20,18,15,3,2,1,11.9,-44.2,"""[22.71, 1.06]""","""[-44.22]""",-0.9
168,sol,682,-21,14,22,2,0,2,0.0,-10.9,"""[]""","""[-10.26, -11.48]""",-1.0
167,sol,682,-21,14,21,2,0,2,0.0,-10.9,"""[]""","""[-10.26, -11.48]""",-1.0
149,sol,682,-21,13,22,2,0,2,0.0,-10.9,"""[]""","""[-10.26, -11.48]""",-1.0
275,sol,682,-21,20,15,3,2,1,11.7,-44.6,"""[22.71, 0.75]""","""[-44.59]""",-0.9
