,coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
184,xrp,682,48,15,19,1,1,0,48.4,0.0,"""[48.39]""","""[]""",2.1
147,xrp,682,47,13,20,1,1,0,47.3,0.0,"""[47.33]""","""[]""",2.1
33,xrp,682,47,7,20,2,1,1,56.1,-8.2,"""[56.08]""","""[-8.16]""",2.1
166,xrp,682,47,14,20,1,1,0,47.3,0.0,"""[47.33]""","""[]""",2.1
148,xrp,682,45,13,21,1,1,0,45.2,0.0,"""[45.18]""","""[]""",2.0
185,xrp,682,45,15,20,1,1,0,45.2,0.0,"""[45.18]""","""[]""",2.0
203,xrp,682,45,16,19,1,1,0,45.2,0.0,"""[45.18]""","""[]""",2.0
167,xrp,682,45,14,21,1,1,0,45.2,0.0,"""[45.18]""","""[]""",2.0
149,xrp,682,45,13,22,1,1,0,45.2,0.0,"""[45.18]""","""[]""",2.0
71,xrp,682,40,9,20,2,1,1,52.5,-11.5,"""[52.47]""","""[-11.48]""",1.8
121,xrp,682,37,12,13,4,3,1,17.1,-13.6,"""[4.83, 18.01, 28.41]""","""[-13.64]""",1.7
146,xrp,682,34,13,19,2,1,1,48.1,-14.0,"""[48.08]""","""[-14.03]""",1.5
43,xrp,682,34,8,11,6,3,3,16.9,-5.5,"""[6.42, 7.31, 37.06]""","""[-7.15, -1.32, -8.05]""",1.5
109,xrp,682,33,11,20,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
53,xrp,682,33,8,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
54,xrp,682,33,8,22,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
140,xrp,682,33,13,13,4,3,1,15.9,-14.5,"""[4.05, 17.63, 26.0]""","""[-14.51]""",1.5
34,xrp,682,33,7,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
173,xrp,682,33,15,8,9,6,3,9.6,-8.0,"""[22.49, 1.72, 9.69, 0.95, 11.52, 11.27]""","""[-10.48, -5.37, -8.05]""",1.5
73,xrp,682,33,9,22,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
72,xrp,682,33,9,21,2,1,1,50.0,-16.1,"""[50.05]""","""[-16.11]""",1.5
127,xrp,682,32,12,19,2,1,1,49.5,-17.1,"""[49.48]""","""[-17.14]""",1.4
97,xrp,682,31,11,8,10,6,4,10.1,-7.2,"""[22.77, 1.31, 9.69, 0.95, 12.63, 13.31]""","""[-10.48, -2.86, -10.39, -5.24]""",1.4
35,xrp,682,31,7,22,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
111,xrp,682,31,11,22,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
110,xrp,682,31,11,21,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
59,xrp,682,31,9,8,8,5,3,9.8,-5.9,"""[22.77, 2.17, 9.69, 0.95, 13.4]""","""[-9.86, -2.86, -5.04]""",1.4
66,xrp,682,31,9,15,4,3,1,15.4,-14.5,"""[2.58, 15.89, 27.74]""","""[-14.51]""",1.4
128,xrp,682,31,12,20,2,1,1,48.1,-16.1,"""[48.08]""","""[-16.11]""",1.4
62,xrp,682,30,9,11,6,3,3,16.0,-5.7,"""[6.42, 3.61, 37.9]""","""[-7.15, -1.9, -8.05]""",1.4
129,xrp,682,30,12,21,2,1,1,46.7,-16.1,"""[46.68]""","""[-16.11]""",1.3
103,xrp,682,28,11,14,4,3,1,16.2,-19.8,"""[4.36, 15.89, 28.41]""","""[-19.8]""",1.3
47,xrp,682,27,8,15,4,3,1,15.7,-19.8,"""[3.36, 15.89, 27.74]""","""[-19.8]""",1.2
159,xrp,682,23,14,13,4,3,1,14.5,-19.8,"""[4.05, 13.51, 26.0]""","""[-19.8]""",1.0
100,xrp,682,23,11,11,6,3,3,14.4,-6.6,"""[6.42, 3.61, 33.18]""","""[-7.15, -2.09, -10.58]""",1.0
130,xrp,682,22,12,22,2,1,1,43.5,-21.3,"""[43.52]""","""[-21.31]""",1.0
122,xrp,682,22,12,14,4,3,1,14.2,-19.8,"""[0.62, 15.89, 26.0]""","""[-19.8]""",1.0
178,xrp,682,22,15,13,4,3,1,14.2,-19.8,"""[0.62, 13.51, 28.55]""","""[-19.8]""",1.0
165,xrp,682,21,14,19,2,1,1,39.0,-17.2,"""[39.02]""","""[-17.22]""",1.0
25,xrp,682,21,7,12,6,3,3,13.9,-6.7,"""[6.42, 3.61, 31.77]""","""[-9.01, -2.98, -8.05]""",1.0
63,xrp,682,21,9,12,6,3,3,13.9,-6.9,"""[6.42, 3.61, 31.77]""","""[-7.15, -2.98, -10.58]""",0.9
