coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,746,318,8,18,3,3,0,106.2,,"""[14.07, 285.91, 18.55]""","""[]""",12.8
btc,746,337,8,17,3,3,0,112.5,,"""[21.24, 296.2, 19.91]""","""[]""",13.6
btc,746,315,8,19,3,3,0,105.3,,"""[14.07, 285.91, 15.83]""","""[]""",12.7
btc,746,427,8,10,6,5,1,88.1,-12.6,"""[21.84, 12.0, 374.98, 17.65, 13.96]""","""[-12.63]""",17.2
btc,746,348,8,9,7,5,2,73.8,-10.3,"""[22.91, 12.0, 289.41, 27.31, 17.21]""","""[-11.03, -9.49]""",14.0
btc,746,350,8,8,9,5,4,81.0,-13.6,"""[29.32, 12.0, 308.57, 34.37, 20.87]""","""[-14.9, -13.23, -17.82, -8.56]""",14.1
btc,746,400,8,22,2,2,0,200.3,,"""[388.77, 11.83]""","""[]""",16.1
btc,746,231,8,7,12,6,6,48.2,-9.7,"""[32.11, 13.05, 59.6, 124.33, 36.09, 24.23]""","""[-5.8, -7.57, -12.7, -14.08, -4.29, -13.66]""",9.3
btc,746,403,8,21,2,2,0,201.9,,"""[391.98, 11.83]""","""[]""",16.2
btc,746,407,8,20,2,2,0,203.9,,"""[391.98, 15.83]""","""[]""",16.4
btc,746,285,17,18,3,3,0,95.0,,"""[7.09, 259.74, 18.32]""","""[]""",11.5
btc,746,282,17,17,4,3,1,99.7,-16.5,"""[14.07, 281.82, 3.14]""","""[-16.5]""",11.4
btc,746,377,17,19,2,2,0,188.9,,"""[361.9, 15.83]""","""[]""",15.2
btc,746,338,17,10,6,4,2,92.2,-15.2,"""[41.6, 288.94, 27.31, 11.04]""","""[-15.93, -14.38]""",13.6
btc,746,362,17,9,6,4,2,97.0,-12.8,"""[44.52, 298.77, 27.31, 17.56]""","""[-13.22, -12.34]""",14.6
btc,746,392,17,8,7,5,2,81.9,-8.4,"""[22.91, 12.0, 316.14, 36.09, 22.29]""","""[-8.18, -8.56]""",15.8
btc,746,335,17,22,2,2,0,167.8,,"""[326.48, 9.2]""","""[]""",13.5
btc,746,236,17,7,10,6,4,45.8,-9.6,"""[28.09, 12.0, 44.46, 124.33, 38.47, 27.46]""","""[-6.57, -4.88, -20.17, -6.78]""",9.5
btc,746,348,17,21,2,2,0,174.4,,"""[336.88, 11.83]""","""[]""",14.0
btc,746,373,17,20,2,2,0,186.9,,"""[361.9, 11.83]""","""[]""",15.0
btc,746,289,13,18,3,3,0,96.5,,"""[14.07, 259.74, 15.83]""","""[]""",11.6
btc,746,264,13,17,4,3,1,93.9,-16.9,"""[16.18, 263.59, 1.97]""","""[-16.91]""",10.6
btc,746,288,13,19,3,3,0,96.3,,"""[13.32, 259.74, 15.83]""","""[]""",11.6
btc,746,316,13,10,6,4,2,87.6,-16.8,"""[41.6, 280.09, 17.65, 11.04]""","""[-17.98, -15.68]""",12.7
btc,746,358,13,9,6,4,2,95.4,-11.7,"""[45.47, 293.96, 27.31, 14.89]""","""[-11.03, -12.34]""",14.4
btc,746,380,13,8,7,5,2,79.7,-8.9,"""[22.91, 12.0, 308.54, 36.09, 19.02]""","""[-8.18, -9.63]""",15.3
btc,746,345,13,22,2,2,0,172.7,,"""[336.88, 8.61]""","""[]""",13.9
btc,746,237,13,7,10,6,4,45.4,-8.7,"""[30.07, 12.0, 44.62, 124.33, 38.47, 22.82]""","""[-6.57, -2.43, -18.93, -6.78]""",9.5
btc,746,348,13,21,2,2,0,174.4,,"""[336.88, 11.83]""","""[]""",14.0
btc,746,348,13,20,2,2,0,174.4,,"""[336.88, 11.83]""","""[]""",14.0
btc,746,410,21,18,2,2,0,205.3,,"""[391.98, 18.55]""","""[]""",16.5
btc,746,282,21,17,4,3,1,99.7,-16.5,"""[14.07, 281.82, 3.14]""","""[-16.5]""",11.4
btc,746,377,21,19,2,2,0,188.9,,"""[361.9, 15.83]""","""[]""",15.2
btc,746,338,21,10,6,4,2,92.2,-15.2,"""[41.6, 288.94, 27.31, 11.04]""","""[-15.93, -14.38]""",13.6
btc,746,363,21,9,6,4,2,97.9,-13.9,"""[45.47, 298.77, 29.83, 17.56]""","""[-15.4, -12.34]""",14.6
btc,746,381,21,8,7,5,2,79.6,-8.4,"""[22.91, 12.0, 306.19, 36.09, 20.95]""","""[-8.18, -8.56]""",15.3
btc,746,341,21,22,2,2,0,170.8,,"""[335.75, 5.77]""","""[]""",13.7
btc,746,373,21,7,9,5,4,82.5,-9.7,"""[27.51, 12.0, 306.19, 38.62, 28.16]""","""[-8.17, -4.88, -18.93, -6.78]""",15.0
btc,746,346,21,21,2,2,0,173.5,,"""[336.88, 10.05]""","""[]""",13.9
btc,746,373,21,20,2,2,0,186.9,,"""[361.9, 11.83]""","""[]""",15.0
btc,746,288,16,18,3,3,0,96.3,,"""[13.32, 259.74, 15.83]""","""[]""",11.6
btc,746,283,16,17,4,3,1,100.0,-16.5,"""[16.18, 281.82, 1.97]""","""[-16.5]""",11.4
btc,746,377,16,19,2,2,0,188.9,,"""[361.9, 15.83]""","""[]""",15.2
