coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,748,409,9,10,7,6,1,71.8,-20.7,"""[41.13, 31.47, 270.68, 33.68, 40.52, 13.05]""","""[-20.73]""",16.4
eth,748,966,9,19,3,2,1,492.0,-17.2,"""[981.5, 2.53]""","""[-17.22]""",38.8
eth,748,1769,9,22,1,1,0,1769.2,,"""[1769.18]""","""[]""",71.0
eth,748,736,9,15,4,2,2,374.7,-6.3,"""[729.22, 20.11]""","""[-7.29, -5.36]""",29.5
eth,748,936,9,20,2,2,0,468.2,,"""[908.07, 28.41]""","""[]""",37.6
eth,748,451,9,8,11,7,4,75.5,-19.1,"""[24.29, 4.85, 47.26, 311.42, 56.95, 60.13, 23.36]""","""[-18.01, -22.17, -23.21, -13.12]""",18.1
eth,748,858,9,21,2,2,0,429.4,,"""[836.81, 21.9]""","""[]""",34.4
eth,748,510,9,7,12,7,5,82.1,-13.0,"""[27.12, 4.85, 47.26, 346.34, 62.86, 62.44, 24.19]""","""[-10.88, -10.88, -14.56, -19.34, -9.19]""",20.5
eth,748,469,9,9,8,7,1,69.7,-17.9,"""[23.82, 1.38, 45.76, 311.42, 41.67, 47.15, 16.42]""","""[-17.87]""",18.8
eth,748,386,9,11,7,6,1,68.8,-26.3,"""[41.13, 29.97, 267.68, 23.44, 40.52, 10.24]""","""[-26.26]""",15.5
eth,748,433,15,10,6,5,1,91.9,-26.3,"""[100.37, 267.68, 37.74, 40.52, 13.05]""","""[-26.26]""",17.4
eth,748,944,15,19,2,2,0,472.2,,"""[908.58, 35.73]""","""[]""",37.9
eth,748,1740,15,22,1,1,0,1740.3,,"""[1740.26]""","""[]""",69.8
eth,748,695,15,15,4,2,2,350.5,-2.8,"""[683.52, 17.53]""","""[-0.95, -4.69]""",27.9
eth,748,879,15,20,2,2,0,439.7,,"""[849.49, 29.84]""","""[]""",35.3
eth,748,501,15,8,8,6,2,88.9,-15.7,"""[41.13, 45.76, 311.42, 55.42, 56.07, 23.36]""","""[-20.15, -11.18]""",20.1
eth,748,858,15,21,2,2,0,429.1,,"""[836.81, 21.41]""","""[]""",34.4
eth,748,518,15,7,11,7,4,81.2,-12.4,"""[23.82, 1.88, 57.76, 335.61, 62.86, 62.44, 24.19]""","""[-11.33, -15.53, -15.54, -7.3]""",20.8
eth,748,472,15,9,7,6,1,81.2,-15.1,"""[41.13, 44.78, 304.76, 39.85, 40.52, 16.42]""","""[-15.12]""",18.9
eth,748,428,15,11,5,5,0,85.7,,"""[100.37, 249.75, 29.59, 38.39, 10.24]""","""[]""",17.2
eth,748,411,13,10,7,6,1,71.7,-19.0,"""[41.13, 29.97, 267.68, 37.74, 40.52, 13.05]""","""[-19.0]""",16.5
eth,748,957,13,19,3,2,1,487.3,-17.2,"""[972.11, 2.53]""","""[-17.22]""",38.4
eth,748,1769,13,22,1,1,0,1769.2,,"""[1769.18]""","""[]""",71.0
eth,748,724,13,15,4,2,2,365.3,-2.8,"""[712.99, 17.53]""","""[-0.95, -4.69]""",29.1
eth,748,877,13,20,2,2,0,439.0,,"""[849.49, 28.41]""","""[]""",35.2
eth,748,510,13,8,8,6,2,90.6,-16.6,"""[50.14, 45.76, 311.42, 54.81, 58.24, 23.36]""","""[-20.15, -13.12]""",20.5
eth,748,860,13,21,2,2,0,430.0,,"""[836.81, 23.22]""","""[]""",34.5
eth,748,502,13,7,12,7,5,81.7,-13.9,"""[27.12, 1.62, 57.76, 335.61, 62.86, 62.44, 24.19]""","""[-11.33, -14.5, -15.54, -18.86, -9.19]""",20.1
eth,748,471,13,9,7,6,1,81.2,-15.5,"""[41.13, 44.78, 304.76, 39.85, 40.52, 16.42]""","""[-15.47]""",18.9
eth,748,396,13,11,6,5,1,84.6,-26.3,"""[100.37, 249.75, 22.05, 40.52, 10.24]""","""[-26.26]""",15.9
eth,748,411,14,10,7,6,1,71.7,-19.0,"""[41.13, 29.97, 267.68, 37.74, 40.52, 13.05]""","""[-19.0]""",16.5
eth,748,956,14,19,2,2,0,478.2,,"""[921.85, 34.61]""","""[]""",38.4
eth,748,1769,14,22,1,1,0,1769.2,,"""[1769.18]""","""[]""",71.0
