coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
sol,585,6425,21,16,1,1,0,6425.6,,"""[6425.58]""","""[]""",329.0
sol,585,6822,21,15,1,1,0,6822.4,,"""[6822.37]""","""[]""",349.4
sol,585,4992,21,20,1,1,0,4992.4,,"""[4992.42]""","""[]""",255.7
sol,585,4302,21,22,1,1,0,4302.7,,"""[4302.73]""","""[]""",220.3
sol,585,2044,21,9,4,2,2,1046.2,-23.8,"""[1601.76, 490.72]""","""[-15.9, -31.71]""",104.7
sol,585,1155,21,8,6,3,3,403.7,-18.5,"""[594.55, 78.86, 537.6]""","""[-9.53, -21.18, -24.71]""",59.2
sol,585,5215,21,19,1,1,0,5215.4,,"""[5215.4]""","""[]""",267.1
sol,585,1000,21,7,9,4,5,274.4,-19.5,"""[659.72, 103.05, 322.25, 12.59]""","""[-2.08, -32.35, -29.63, -14.16, -19.19]""",51.2
sol,585,5921,21,18,1,1,0,5921.7,,"""[5921.7]""","""[]""",303.2
sol,585,4501,21,21,1,1,0,4501.7,,"""[4501.7]""","""[]""",230.5
sol,585,7058,17,16,1,1,0,7058.4,,"""[7058.38]""","""[]""",361.5
sol,585,7292,17,15,1,1,0,7293.0,,"""[7292.99]""","""[]""",373.5
sol,585,5449,17,20,1,1,0,5449.6,,"""[5449.62]""","""[]""",279.1
sol,585,4908,17,22,1,1,0,4908.3,,"""[4908.3]""","""[]""",251.3
sol,585,2011,17,9,4,2,2,1027.0,-21.3,"""[1541.88, 512.05]""","""[-15.9, -26.79]""",103.0
sol,585,2192,17,8,5,2,3,1122.3,-17.5,"""[1716.66, 527.96]""","""[-9.53, -21.18, -21.71]""",112.3
sol,585,5719,17,19,1,1,0,5719.3,,"""[5719.27]""","""[]""",292.9
sol,585,1018,17,7,9,4,5,278.2,-18.8,"""[674.72, 103.05, 322.25, 12.59]""","""[-3.02, -30.9, -29.63, -12.8, -17.85]""",52.2
sol,585,6214,17,18,1,1,0,6214.3,,"""[6214.29]""","""[]""",318.2
