coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
xrp,748,210,15,11,7,4,3,65.8,-17.6,"""[17.25, 35.11, 176.07, 34.78]""","""[-9.67, -19.85, -23.27]""",8.4
xrp,748,94,15,15,6,4,2,35.6,-24.1,"""[13.3, 19.24, 87.22, 22.62]""","""[-20.35, -27.89]""",3.8
xrp,748,168,15,13,6,4,2,52.7,-21.1,"""[17.25, 30.2, 128.56, 34.78]""","""[-18.91, -23.25]""",6.8
xrp,748,126,15,14,6,4,2,42.8,-22.4,"""[15.43, 19.24, 105.42, 30.92]""","""[-18.91, -25.94]""",5.1
xrp,748,74,15,20,2,1,1,80.7,-6.5,"""[80.66]""","""[-6.46]""",3.0
xrp,748,195,15,12,6,4,2,57.8,-18.2,"""[17.25, 35.11, 144.24, 34.78]""","""[-13.08, -23.25]""",7.8
xrp,748,35,15,19,3,2,1,21.2,-7.1,"""[10.45, 31.9]""","""[-7.09]""",1.4
xrp,748,281,15,8,10,4,6,90.0,-13.1,"""[29.22, 71.6, 195.12, 64.0]""","""[-2.61, -11.01, -41.27, -3.58, -13.79, -6.36]""",11.3
xrp,748,73,15,22,2,1,1,80.7,-7.6,"""[80.66]""","""[-7.62]""",2.9
xrp,748,74,15,21,2,1,1,80.7,-6.5,"""[80.66]""","""[-6.46]""",3.0
xrp,748,280,9,11,7,4,3,79.1,-11.8,"""[17.25, 72.49, 182.66, 43.96]""","""[-6.65, -10.93, -17.96]""",11.3
xrp,748,134,9,15,6,4,2,44.1,-21.2,"""[13.3, 35.11, 105.42, 22.62]""","""[-16.38, -25.94]""",5.4
xrp,748,202,9,13,7,4,3,65.4,-19.6,"""[17.25, 61.28, 148.33, 34.78]""","""[-12.31, -23.25, -23.27]""",8.1
xrp,748,151,9,14,6,4,2,47.4,-19.0,"""[16.01, 36.59, 105.42, 31.53]""","""[-14.82, -23.25]""",6.1
xrp,748,36,9,20,4,2,2,34.0,-15.8,"""[25.01, 43.06]""","""[-24.56, -7.09]""",1.5
xrp,748,225,9,12,7,4,3,68.5,-16.3,"""[17.25, 61.28, 160.62, 34.78]""","""[-8.94, -16.67, -23.27]""",9.0
xrp,748,87,9,19,4,3,1,37.4,-24.6,"""[52.95, 47.3, 11.86]""","""[-24.56]""",3.5
xrp,748,350,9,8,10,5,5,81.0,-10.9,"""[2.21, 29.22, 84.48, 225.29, 64.0]""","""[-8.13, -31.6, -1.57, -12.75, -0.6]""",14.1
xrp,748,91,9,22,2,2,0,45.6,,"""[10.45, 80.66]""","""[]""",3.7
xrp,748,26,9,21,3,2,1,18.5,-10.5,"""[10.45, 26.47]""","""[-10.53]""",1.1
xrp,748,282,8,11,8,4,4,82.2,-11.7,"""[17.25, 72.49, 195.12, 43.96]""","""[-5.17, -11.81, -17.96, -11.71]""",11.3
xrp,748,179,8,15,6,4,2,55.1,-20.6,"""[13.3, 36.59, 144.24, 26.23]""","""[-15.17, -25.94]""",7.2
xrp,748,241,8,13,7,4,3,74.0,-18.2,"""[17.25, 61.28, 182.66, 34.78]""","""[-8.16, -23.25, -23.27]""",9.7
xrp,748,194,8,14,6,4,2,57.0,-16.9,"""[15.43, 36.59, 144.24, 31.53]""","""[-10.46, -23.25]""",7.8
xrp,748,127,8,20,3,2,1,66.5,-5.4,"""[45.87, 87.22]""","""[-5.42]""",5.1
xrp,748,255,8,12,7,4,3,77.1,-17.5,"""[17.25, 61.28, 195.12, 34.78]""","""[-5.95, -23.25, -23.27]""",10.3
xrp,748,123,8,19,4,2,2,73.2,-11.6,"""[59.16, 87.22]""","""[-19.87, -3.36]""",4.9
xrp,748,370,8,8,10,5,5,83.1,-9.1,"""[2.21, 29.22, 84.48, 235.54, 64.0]""","""[-5.3, -26.6, -1.57, -11.36, -0.6]""",14.8
xrp,748,56,8,22,3,2,1,31.7,-7.1,"""[17.05, 46.36]""","""[-7.09]""",2.3
xrp,748,86,8,21,3,2,1,46.2,-5.4,"""[18.64, 73.66]""","""[-5.42]""",3.5
