coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,410,-23,9,10,5,2,3,10.3,-14.8,"""[0.36, 20.31]""","""[-20.73, -17.09, -6.7]""",-1.7
eth,410,-55,9,19,3,0,3,,-18.4,"""[]""","""[-20.14, -12.38, -22.63]""",-4.0
eth,410,-68,9,22,3,0,3,,-22.9,"""[]""","""[-24.1, -21.31, -23.28]""",-5.0
eth,410,-20,9,15,3,1,2,4.4,-12.3,"""[4.41]""","""[-12.56, -12.02]""",-1.5
eth,410,-60,9,20,3,0,3,,-20.2,"""[]""","""[-22.87, -15.01, -22.63]""",-4.4
eth,410,-3,9,8,6,3,3,15.3,-16.3,"""[5.25, 36.76, 3.75]""","""[-23.21, -13.12, -12.53]""",-0.2
eth,410,-63,9,21,3,0,3,,-21.2,"""[]""","""[-22.87, -18.22, -22.63]""",-4.7
eth,410,-39,9,7,9,3,6,14.9,-14.0,"""[1.06, 37.67, 5.84]""","""[-19.34, -9.19, -19.89, -14.77, -10.69, -9.99]""",-2.9
eth,410,-8,9,9,5,2,3,15.3,-12.8,"""[3.58, 26.96]""","""[-17.87, -13.98, -6.7]""",-0.6
eth,410,-20,9,11,4,1,3,20.3,-13.6,"""[20.31]""","""[-26.26, -2.59, -12.02]""",-1.5
eth,410,-17,15,10,4,2,2,10.3,-19.1,"""[0.36, 20.31]""","""[-26.26, -12.02]""",-1.3
eth,410,-74,15,19,3,0,3,,-24.9,"""[]""","""[-22.87, -21.31, -30.49]""",-5.5
eth,410,-60,15,22,2,0,2,,-30.2,"""[]""","""[-33.51, -26.85]""",-4.4
eth,410,-37,15,15,3,0,3,,-12.5,"""[]""","""[-13.15, -2.85, -21.47]""",-2.7
eth,410,-76,15,20,3,0,3,,-25.6,"""[]""","""[-24.89, -21.31, -30.49]""",-5.6
eth,410,-8,15,8,6,2,4,16.5,-10.5,"""[5.25, 27.69]""","""[-11.18, -13.98, -6.7, -9.99]""",-0.7
eth,410,-55,15,21,2,0,2,,-27.7,"""[]""","""[-29.54, -25.83]""",-4.1
eth,410,5,15,7,6,2,4,18.9,-8.0,"""[1.06, 36.76]""","""[-7.3, -12.53, -6.7, -5.52]""",0.4
eth,410,-32,15,9,6,2,4,11.9,-14.1,"""[3.58, 20.31]""","""[-15.12, -17.09, -12.02, -11.99]""",-2.4
eth,410,1,15,11,3,1,2,17.0,-7.7,"""[16.96]""","""[-2.59, -12.82]""",0.1
eth,410,-10,13,10,4,2,2,10.3,-15.5,"""[0.36, 20.31]""","""[-19.0, -12.02]""",-0.8
eth,410,-63,13,19,3,0,3,,-21.0,"""[]""","""[-22.87, -15.01, -25.2]""",-4.6
eth,410,-59,13,22,2,0,2,,-29.7,"""[]""","""[-33.51, -25.83]""",-4.3
eth,410,-32,13,15,3,1,2,1.3,-17.0,"""[1.34]""","""[-12.56, -21.47]""",-2.4
eth,410,-67,13,20,3,0,3,,-22.5,"""[]""","""[-24.1, -18.21, -25.2]""",-4.9
eth,410,-3,13,8,6,2,4,20.6,-11.3,"""[5.25, 35.99]""","""[-13.12, -13.27, -6.7, -11.99]""",-0.3
eth,410,-52,13,21,2,0,2,,-26.3,"""[]""","""[-26.67, -25.83]""",-3.8
eth,410,-4,13,7,7,3,4,15.3,-12.5,"""[2.43, 39.84, 3.75]""","""[-18.86, -9.19, -12.53, -9.48]""",-0.3
