coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
btc,371,-1,8,18,2,1,1,5.2,-6.5,"""[5.24]""","""[-6.51]""",-0.1
btc,371,5,8,17,2,1,1,10.2,-4.5,"""[10.16]""","""[-4.48]""",0.5
btc,371,-1,8,19,2,1,1,5.2,-6.5,"""[5.24]""","""[-6.51]""",-0.1
btc,371,52,8,10,7,3,4,23.6,-4.6,"""[19.93, 4.5, 46.33]""","""[-4.39, -3.96, -8.54, -1.68]""",4.2
btc,371,73,8,9,9,4,5,24.8,-5.2,"""[28.54, 19.93, 4.5, 46.33]""","""[-4.39, -3.96, -8.54, -4.71, -4.41]""",5.9
btc,371,82,8,8,10,5,5,21.6,-5.1,"""[28.54, 0.67, 28.12, 4.5, 46.33]""","""[-8.41, -3.96, -6.59, -2.11, -4.41]""",6.7
btc,371,-3,8,22,2,1,1,3.6,-7.3,"""[3.57]""","""[-7.34]""",-0.3
btc,371,87,8,7,11,5,6,23.4,-4.8,"""[29.48, 1.54, 31.55, 8.02, 46.33]""","""[-8.41, -7.43, -2.83, -5.99, -0.85, -3.59]""",7.1
btc,371,-1,8,21,2,1,1,5.2,-6.5,"""[5.24]""","""[-6.51]""",-0.1
btc,371,-1,8,20,2,1,1,5.2,-6.5,"""[5.24]""","""[-6.51]""",-0.1
btc,371,-8,17,18,1,0,1,,-8.0,"""[]""","""[-8.03]""",-0.6
btc,371,-7,17,17,1,0,1,,-7.3,"""[]""","""[-7.34]""",-0.6
btc,371,-14,17,19,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,7,17,10,3,2,1,8.1,-8.9,"""[13.61, 2.57]""","""[-8.87]""",0.6
btc,371,11,17,9,3,2,1,10.0,-8.5,"""[17.05, 2.92]""","""[-8.54]""",0.9
btc,371,73,17,8,7,4,3,24.7,-8.5,"""[25.22, 17.05, 3.87, 52.67]""","""[-5.23, -11.87, -8.54]""",5.9
btc,371,-14,17,22,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,83,17,7,9,5,4,21.8,-6.3,"""[26.56, 27.31, 8.02, 0.78, 46.33]""","""[-4.39, -10.95, -3.96, -5.99]""",6.8
btc,371,-14,17,21,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,-14,17,20,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,-6,13,18,2,0,2,,-3.4,"""[]""","""[-0.38, -6.51]""",-0.6
btc,371,-6,13,17,2,0,2,,-3.4,"""[]""","""[-0.38, -6.51]""",-0.6
btc,371,-6,13,19,1,0,1,,-6.5,"""[]""","""[-6.51]""",-0.5
btc,371,19,13,10,2,2,0,10.0,,"""[17.05, 2.92]""","""[]""",1.6
btc,371,59,13,9,4,3,1,23.6,-10.9,"""[19.17, 2.92, 48.59]""","""[-10.94]""",4.8
btc,371,36,13,8,8,3,5,24.5,-7.5,"""[19.93, 3.87, 49.84]""","""[-5.88, -10.07, -8.78, -3.96, -8.87]""",2.9
btc,371,-10,13,22,1,0,1,,-10.8,"""[]""","""[-10.82]""",-0.9
btc,371,64,13,7,11,4,7,25.3,-5.3,"""[27.07, 19.93, 8.02, 46.33]""","""[-4.39, -8.96, -7.43, -3.96, -8.54, -2.42, -1.55]""",5.2
btc,371,-7,13,21,1,0,1,,-7.3,"""[]""","""[-7.34]""",-0.6
btc,371,-7,13,20,1,0,1,,-7.3,"""[]""","""[-7.34]""",-0.6
btc,371,-14,21,18,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,-10,21,17,1,0,1,,-10.9,"""[]""","""[-10.91]""",-0.9
btc,371,-14,21,19,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,5,21,10,3,2,1,7.2,-8.5,"""[13.61, 0.74]""","""[-8.54]""",0.5
btc,371,9,21,9,3,2,1,8.1,-6.6,"""[13.61, 2.57]""","""[-6.59]""",0.8
btc,371,42,21,8,4,3,1,16.1,-6.0,"""[28.22, 17.05, 2.92]""","""[-5.99]""",3.4
btc,371,0,21,22,0,0,0,,,"""[]""","""[]""",0.0
btc,371,93,21,7,7,4,3,28.3,-6.7,"""[26.28, 28.12, 4.5, 54.1]""","""[-4.39, -10.07, -5.51]""",7.5
btc,371,0,21,21,0,0,0,,,"""[]""","""[]""",0.0
btc,371,-15,21,20,1,0,1,,-15.8,"""[]""","""[-15.83]""",-1.3
btc,371,-7,16,18,1,0,1,,-7.9,"""[]""","""[-7.88]""",-0.6
btc,371,-8,16,17,2,0,2,,-4.4,"""[]""","""[-2.37, -6.51]""",-0.7
btc,371,-14,16,19,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,16,16,10,2,2,0,8.1,,"""[13.61, 2.57]""","""[]""",1.3
btc,371,11,16,9,3,2,1,10.0,-8.5,"""[17.05, 2.92]""","""[-8.54]""",0.9
btc,371,69,16,8,8,4,4,24.8,-7.4,"""[25.5, 17.05, 3.87, 52.67]""","""[-5.23, -11.87, -3.96, -8.54]""",5.6
btc,371,-14,16,22,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,82,16,7,9,4,5,27.1,-5.2,"""[26.56, 27.31, 8.02, 46.33]""","""[-4.39, -10.95, -3.96, -6.59, -0.16]""",6.6
btc,371,-14,16,21,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,-14,16,20,1,0,1,,-14.9,"""[]""","""[-14.89]""",-1.2
btc,371,-6,12,18,2,0,2,,-3.4,"""[]""","""[-0.38, -6.51]""",-0.6
btc,371,-5,12,17,2,1,1,1.2,-6.5,"""[1.22]""","""[-6.51]""",-0.4
btc,371,-6,12,19,1,0,1,,-6.5,"""[]""","""[-6.51]""",-0.5
btc,371,21,12,10,2,2,0,10.6,,"""[18.72, 2.57]""","""[]""",1.7
btc,371,55,12,9,5,3,2,23.6,-7.4,"""[19.17, 2.92, 48.59]""","""[-10.87, -3.96]""",4.5
btc,371,25,12,8,10,3,7,23.4,-6.4,"""[19.93, 3.87, 46.33]""","""[-5.23, -8.96, -8.78, -3.96, -8.87, -4.22, -4.8]""",2.0
btc,371,-7,12,22,1,0,1,,-7.9,"""[]""","""[-7.88]""",-0.6
btc,371,62,12,7,11,4,7,25.9,-5.9,"""[28.54, 19.93, 8.72, 46.33]""","""[-4.39, -8.41, -7.43, -3.96, -8.54, -4.22, -4.41]""",5.0
btc,371,-7,12,21,1,0,1,,-7.3,"""[]""","""[-7.34]""",-0.6
btc,371,-7,12,20,1,0,1,,-7.3,"""[]""","""[-7.34]""",-0.6
